Data,IDVenditore,IDAcquirente,Valore
2019-03-02,utente_3,utente_1,609
2019-03-02,utente_6,utente_8,651
2019-03-02,utente_4,utente_7,456
2019-03-02,utente_4,utente_2,675
2019-03-02,utente_10,utente_8,268
2019-03-02,utente_6,utente_7,685
2019-03-02,utente_9,utente_2,818
2019-03-02,utente_5,utente_1,158
2019-03-02,utente_10,utente_3,404
2019-03-02,utente_5,utente_3,752
2019-03-02,utente_3,utente_5,45
2019-03-02,utente_5,utente_3,706
2019-03-02,utente_4,utente_10,660
2019-03-02,utente_10,utente_8,815
2019-03-02,utente_7,utente_9,675
2019-03-02,utente_1,utente_5,138
2019-03-02,utente_3,utente_5,644
2019-03-02,utente_2,utente_7,247
2019-03-02,utente_9,utente_7,411
2019-03-02,utente_2,utente_7,273
2019-03-02,utente_5,utente_9,513
2019-03-02,utente_7,utente_9,790
2019-03-02,utente_1,utente_6,592
2019-03-02,utente_4,utente_8,683
2019-03-02,utente_3,utente_7,13
2019-03-02,utente_10,utente_1,882
2019-03-02,utente_10,utente_4,353
2019-03-02,utente_7,utente_2,931
2019-03-02,utente_5,utente_2,615
2019-03-02,utente_6,utente_8,207
2019-03-02,utente_9,utente_1,289
2019-03-02,utente_6,utente_1,894
2019-03-02,utente_3,utente_6,568
2019-03-02,utente_7,utente_4,664
2019-03-02,utente_10,utente_6,578
2019-03-02,utente_10,utente_1,152
2019-03-02,utente_4,utente_5,583
2019-03-02,utente_7,utente_1,940
2019-03-02,utente_6,utente_4,962
2019-03-02,utente_8,utente_7,592
2019-03-02,utente_10,utente_6,622
2019-03-02,utente_9,utente_6,791
2019-03-02,utente_1,utente_8,695
2019-03-02,utente_6,utente_1,996
2019-03-02,utente_4,utente_5,582
2019-03-02,utente_5,utente_8,182
2019-03-02,utente_8,utente_9,178
2019-03-02,utente_1,utente_6,71
2019-03-02,utente_9,utente_2,291
2019-03-02,utente_5,utente_2,489
2019-03-02,utente_9,utente_7,856
2019-03-02,utente_4,utente_5,423
2019-03-02,utente_1,utente_8,812
2019-03-02,utente_10,utente_2,665
2019-03-02,utente_6,utente_8,945
2019-03-02,utente_2,utente_7,548
2019-03-02,utente_6,utente_10,389
